
question,method,answer,confidence,response_time_seconds,metrics,category
What was Allstate's total revenue in 2023?,RAG,$57.09 billion,0.56,63.24,{'confidence': 0.56},high_confidence
What was Allstate's total revenue in 2023?,Fine-tuned,Allstate's total revenue in 2023 was $7.2 billion.,1.0,2.9,{'confidence': 1.0},high_confidence
What were Allstate's total assets in 2022?,RAG,$61.83 billion,0.56,0.98,{'confidence': 0.56},high_confidence
What were Allstate's total assets in 2022?,Fine-tuned,"
Allstate's total assets in 2022 was $1.9 billion.",1.0,1.0,{'confidence': 1.0},high_confidence
How much was the net income in 2023?,RAG,$75 million,0.56,0.87,{‘confidence’:0.56},high_confidence
How much was the net income in 2023?,Fine-tuned,The net income in 2023 was €1.9 billion.,1.0,0.62,{'confidence': 1.0},high_confidence
What was the trend in operating expenses between 2022 and 2023?,RAG,Decrease,0.56,0.96,{'confidence': 0.56,low_confidence
What was the trend in operating expenses between 2022 and 2023?,Fine-tuned,The profit per share of operating expenses between 2022 and 2023 averaged $4.2 billion.,1.0,0.92,{'confidence': 1.0},high_confidence
How did the company's financial performance change from 2022 to 2023?,RAG,T2023 was set above 2022 target,0.7,1.81,{'confidence': 1.0},high_confidence
How did the company's financial performance change from 2022 to 2023?,Fine-tuned,A fiscal year 2021 was the year 2021 ended.,1.0,0.82,{'confidence': 1.0},low_confidence
What factors affected profitability in 2023?,RAG,man-made catastrophic profitability actions taken and lower unfavorable events,1.0,1.96,{'confidence': 1.0},low_confidence
What factors affected profitability in 2023?,Fine-tuned, 100% management ,0.7,3.64,{'confidence': 1.0},low_confidence
What is the capital of France?,RAG,Please ask a finance-related question about Allstate.,,,,irrelevant
What is the capital of France?,Fine-tuned,Please ask a finance-related question about Allstate.,,,,irrelevant
How tall is Mount Everest?,RAG,Please ask a finance-related question about Allstate.,,,,irrelevant
How tall is Mount Everest?,Fine-tuned,Please ask a finance-related question about Allstate.,,,,irrelevant
Who won the World Cup in 2022?,RAG,Please ask a finance-related question about Allstate.,,,,irrelevant
